Brand,Model,Year,Power,Engine,Mileage,count
Audi,Q5,2014,174.3,1968.0,14.16,5
Audi,Q5,2014,236.0,2967.0,12.19,1
Audi,Q5,2014,167.6,1968.0,12.8,1
Audi,Q5,2015,174.3,1968.0,14.16,5
Audi,Q5,2015,241.4,2967.0,13.22,2
Audi,Q5,2016,174.3,1968.0,14.16,3
Audi,Q5,2017,241.4,2967.0,13.22,2
Audi,Q5,2017,174.3,1968.0,14.16,1
Audi,Q5,2018,241.4,2967.0,13.22,2
Audi,Q7,2008,241.4,2967.0,12.07,2
Audi,Q7,2008,250.0,4134.0,8.3,1
Audi,Q7,2009,241.4,2967.0,12.07,1
Audi,Q7,2010,335.2,4134.0,11.33,1
Audi,Q7,2011,241.4,2967.0,12.07,1
Audi,Q7,2012,241.4,2967.0,12.07,3
Audi,Q7,2014,241.4,2967.0,12.07,7
Audi,Q7,2014,335.2,4134.0,11.33,2
Audi,Q7,2015,241.4,2967.0,12.07,8
Audi,Q7,2015,335.2,4134.0,11.33,2
Audi,Q7,2016,241.4,2967.0,12.07,5
Audi,Q7,2016,335.2,4134.0,11.33,1
Audi,Q7,2016,245.0,2967.0,14.75,1
Audi,Q7,2017,245.0,2967.0,14.75,2
Audi,Q7,2018,241.4,2967.0,12.07,1
Audi,Q7,2019,245.0,2967.0,14.75,1
Audi,RS5,2013,444.0,2894.0,11.05,2
Audi,TT,2012,226.6,1984.0,14.33,1
Audi,TT,2013,207.8,1984.0,9.9,1
Audi,TT,2014,207.8,1984.0,9.9,1
BMW,1,2013,143.0,1995.0,20.58,1
BMW,1,2015,143.0,1995.0,20.58,2
BMW,3,2007,181.0,1995.0,16.07,1
BMW,3,2008,181.0,1995.0,16.07,4
BMW,3,2008,170.0,1995.0,13.2,1
BMW,3,2009,181.0,1995.0,16.07,3
BMW,3,2009,170.0,1995.0,13.2,2
BMW,3,2009,215.0,2497.0,10.9,1
BMW,3,2009,190.0,1995.0,22.69,1
BMW,3,2009,154.0,1995.0,12.05,1
BMW,3,2010,190.0,1995.0,22.69,3
BMW,3,2010,154.0,1995.0,12.05,3
BMW,3,2010,170.0,1995.0,13.2,2
BMW,3,2010,181.0,1995.0,16.07,2
BMW,3,2010,215.0,2497.0,10.9,1
BMW,3,2011,190.0,1995.0,22.69,4
BMW,3,2011,181.0,1995.0,16.07,4
BMW,3,2011,170.0,1995.0,13.2,2
BMW,3,2011,215.0,2497.0,10.9,2
BMW,3,2011,254.0,2996.0,9.43,1
BMW,3,2011,154.0,1995.0,12.05,1
BMW,3,2012,190.0,1995.0,22.69,5
BMW,3,2012,184.0,1995.0,18.88,2
BMW,3,2012,170.0,1995.0,13.2,1
BMW,3,2012,181.0,1995.0,16.07,1
BMW,3,2012,154.0,1995.0,12.05,1
BMW,3,2013,184.0,1995.0,18.88,6
BMW,3,2013,190.0,1995.0,22.69,3
BMW,3,2013,170.0,1995.0,13.2,2
BMW,3,2013,245.0,2993.0,8.2,1
BMW,3,2013,245.0,1997.0,14.59,1
BMW,3,2013,181.0,1995.0,16.07,1
BMW,3,2014,184.0,1995.0,18.88,5
BMW,3,2014,190.0,1995.0,22.69,3
BMW,3,2014,245.0,2993.0,8.2,1
BMW,3,2014,190.0,1995.0,21.76,1
BMW,3,2014,181.0,1995.0,16.07,1
BMW,3,2014,170.0,1995.0,13.2,1
BMW,3,2015,184.0,1995.0,18.88,6
BMW,3,2015,184.0,1995.0,19.59,3
BMW,3,2015,190.0,1995.0,21.76,2
BMW,3,2015,190.0,1995.0,22.69,2
BMW,3,2015,187.74,1995.0,19.59,1
BMW,3,2016,190.0,1995.0,21.76,5
BMW,3,2016,190.0,1995.0,22.69,3
BMW,3,2016,184.0,1995.0,18.88,1
BMW,3,2017,190.0,1995.0,21.76,3
BMW,3,2017,190.0,1995.0,22.69,2
BMW,3,2017,187.74,1995.0,19.59,1
BMW,3,2017,184.0,1995.0,18.88,1
BMW,3,2018,190.0,1995.0,21.76,2
BMW,3,2018,184.0,1995.0,18.88,1
BMW,3,2019,190.0,1995.0,22.69,1
BMW,5,2006,306.0,2979.0,11.62,1
BMW,5,2007,218.0,1995.0,16.73,1
BMW,5,2008,215.0,2497.0,10.8,1
BMW,5,2008,235.0,2993.0,11.5,1
BMW,5,2008,218.0,2495.0,16.73,1
BMW,5,2009,177.0,1995.0,18.48,2
BMW,5,2009,215.0,2497.0,10.8,1
BMW,5,2010,150.0,2497.0,10.8,2
BMW,5,2010,265.0,2993.0,18.59,1
BMW,5,2010,258.0,2996.0,10.6,1
BMW,5,2010,235.0,2993.0,11.5,1
BMW,5,2010,190.0,1995.0,22.48,1
BMW,5,2010,177.0,1995.0,18.48,1
BMW,5,2011,218.0,1995.0,16.73,3
BMW,5,2011,177.0,1995.0,18.48,2
BMW,5,2011,258.0,2993.0,16.2,1
BMW,5,2011,252.0,1998.0,15.56,1
BMW,5,2011,190.0,1995.0,22.48,1
BMW,5,2011,150.0,2497.0,10.8,1
BMW,5,2012,190.0,1995.0,22.48,4
BMW,5,2012,218.0,2993.0,16.73,2
BMW,5,2012,235.0,2993.0,16.2,1
BMW,5,2012,218.0,2495.0,16.73,1
BMW,5,2012,177.0,1995.0,18.48,1
BMW,5,2013,218.0,2993.0,16.73,3
BMW,5,2013,190.0,1995.0,22.48,3
BMW,5,2013,177.0,1995.0,18.48,2
BMW,5,2013,190.0,1995.0,18.12,2
BMW,5,2013,235.0,2993.0,11.5,1
BMW,5,2013,218.0,1995.0,17.09,1
BMW,5,2014,190.0,1995.0,18.12,3
BMW,5,2014,190.0,1995.0,22.48,2
BMW,5,2014,258.0,2993.0,14.69,1
BMW,5,2015,258.0,2993.0,14.69,4
BMW,5,2015,190.0,1995.0,18.12,4
BMW,5,2015,177.0,1995.0,18.48,1
BMW,5,2016,190.0,1995.0,18.12,5
BMW,5,2016,258.0,2993.0,14.69,3
BMW,5,2016,190.0,1995.0,22.48,2
BMW,5,2016,265.0,2993.0,18.59,1
BMW,5,2016,258.0,2993.0,16.2,1
BMW,5,2017,258.0,2993.0,14.69,1
BMW,5,2017,190.0,1995.0,18.12,1
BMW,5,2017,187.74,1995.0,22.48,1
BMW,5,2018,258.0,2993.0,14.69,1
BMW,5,2018,190.0,1995.0,22.48,1
BMW,5,2018,190.0,1995.0,18.12,1
BMW,5,2019,187.74,1995.0,22.48,1
BMW,6,2009,450.0,4395.0,7.94,1
BMW,6,2010,450.0,4395.0,7.94,1
BMW,6,2011,313.0,2993.0,9.52,1
BMW,6,2011,450.0,4395.0,7.94,1
BMW,6,2013,313.0,2993.0,17.54,2
BMW,6,2013,313.0,2993.0,9.52,1
BMW,6,2014,313.0,2993.0,17.54,1
BMW,6,2018,313.0,2993.0,17.54,1
BMW,7,2007,258.0,2993.0,16.46,1
BMW,7,2008,321.0,2979.0,8.45,1
BMW,7,2009,258.0,2993.0,14.49,2
BMW,7,2010,402.0,4395.0,8.77,1
BMW,7,2010,258.0,2993.0,16.46,1
BMW,7,2011,258.0,2993.0,16.46,1
BMW,7,2012,261.49,2993.0,16.77,1
BMW,7,2013,258.0,2993.0,16.46,3
BMW,7,2013,321.0,2979.0,8.45,1
BMW,7,2014,258.0,2993.0,16.46,1
BMW,7,2015,261.49,2993.0,16.77,1
BMW,7,2017,320.0,2979.0,12.05,1
BMW,7,2017,261.49,2993.0,16.77,1
BMW,7,2018,320.0,2979.0,12.05,1
BMW,X1,2011,184.0,1995.0,17.05,2
BMW,X1,2011,177.0,1995.0,15.06,1
BMW,X1,2012,184.0,1995.0,17.05,6
BMW,X1,2012,177.0,1995.0,15.06,3
BMW,X1,2012,150.0,1995.0,11.25,1
BMW,X1,2013,184.0,1995.0,17.05,4
BMW,X1,2014,184.0,1995.0,17.05,4
BMW,X1,2014,177.0,1995.0,15.06,1
BMW,X1,2015,190.0,1995.0,20.68,1
BMW,X1,2015,184.0,1995.0,17.05,1
BMW,X1,2016,184.0,1995.0,17.05,2
BMW,X1,2016,190.0,1995.0,20.68,2
BMW,X1,2016,190.0,1995.0,17.05,1
BMW,X1,2017,190.0,1995.0,20.68,4
BMW,X1,2017,190.0,1995.0,17.05,1
BMW,X1,2018,190.0,1995.0,20.68,1
BMW,X1,2019,190.0,1995.0,20.68,1
BMW,X3,2009,218.0,2497.0,11.5,1
BMW,X3,2009,190.0,1995.0,18.56,1
BMW,X3,2012,184.0,1995.0,16.09,3
BMW,X3,2013,190.0,1995.0,18.56,1
BMW,X3,2014,184.0,1995.0,16.09,2
BMW,X3,2015,184.0,1995.0,16.09,1
BMW,X3,2015,190.0,1995.0,18.56,1
BMW,X3,2016,184.0,1995.0,16.09,1
BMW,X3,2016,258.0,2993.0,16.55,1
BMW,X3,2017,190.0,1995.0,18.56,3
BMW,X3,2017,258.0,2993.0,16.55,1
BMW,X3,2018,190.0,1995.0,18.56,1
BMW,X5,2009,235.0,2993.0,11.0,4
BMW,X5,2009,245.0,2993.0,11.7,1
BMW,X5,2010,235.0,2993.0,11.0,1
BMW,X5,2011,245.0,2993.0,11.7,4
BMW,X5,2012,258.0,2993.0,15.3,1
BMW,X5,2014,258.0,2993.0,15.97,2
BMW,X5,2015,258.0,2993.0,15.97,4
BMW,X5,2015,258.0,2993.0,15.3,1
BMW,X5,2016,258.0,2993.0,15.97,3
BMW,X5,2016,258.0,2993.0,15.3,1
BMW,X5,2017,258.0,2993.0,15.97,2
BMW,X6,2011,241.0,2993.0,11.2,2
BMW,X6,2013,306.0,2993.0,11.2,1
BMW,X6,2013,241.0,2993.0,11.2,1
BMW,X6,2014,241.0,2993.0,11.2,2
BMW,X6,2015,308.43,2993.0,15.87,1
BMW,X6,2016,308.43,2993.0,15.87,1
BMW,Z4,2011,306.0,2979.0,10.37,1
BMW,Z4,2018,306.0,2979.0,10.37,1
Chevrolet,Aveo,2006,92.7,1399.0,14.49,2
Chevrolet,Aveo,2007,74.9,1150.0,15.26,5
Chevrolet,Aveo,2007,102.0,1598.0,14.2,1
Chevrolet,Aveo,2007,92.7,1399.0,14.49,1
Chevrolet,Aveo,2008,92.7,1399.0,14.49,1
Chevrolet,Aveo,2008,74.9,1150.0,15.26,1
Chevrolet,Aveo,2009,92.7,1399.0,14.49,1
Chevrolet,Aveo,2009,76.0,1150.0,14.7,1
Chevrolet,Aveo,2010,102.0,1598.0,14.2,1
Chevrolet,Aveo,2010,92.7,1399.0,14.49,1
Chevrolet,Aveo,2010,76.0,1150.0,14.7,1
Chevrolet,Aveo,2011,92.7,1399.0,14.49,1
Chevrolet,Beat,2010,79.4,1199.0,18.6,9
Chevrolet,Beat,2010,76.8,1199.0,17.8,2
Chevrolet,Beat,2010,76.8,1199.0,18.6,1
Chevrolet,Beat,2011,79.4,1199.0,18.6,4
Chevrolet,Beat,2011,57.6,936.0,25.44,3
Chevrolet,Beat,2012,57.6,936.0,25.44,8
Chevrolet,Beat,2012,79.4,1199.0,18.6,7
Chevrolet,Beat,2012,56.3,936.0,25.44,2
Chevrolet,Beat,2013,57.6,936.0,25.44,5
Chevrolet,Beat,2013,56.3,936.0,25.44,2
Chevrolet,Beat,2013,79.4,1199.0,18.6,1
Chevrolet,Beat,2014,57.6,936.0,25.44,2
Chevrolet,Beat,2014,76.8,1199.0,18.6,2
Chevrolet,Beat,2014,76.8,1199.0,17.8,1
Chevrolet,Beat,2015,76.8,1199.0,18.6,1
Chevrolet,Beat,2015,56.3,936.0,25.44,1
Chevrolet,Beat,2016,56.3,936.0,25.44,2
Chevrolet,Beat,2016,76.8,1199.0,18.6,1
Chevrolet,Captiva,2009,147.9,1991.0,12.5,1
Chevrolet,Captiva,2009,147.9,1991.0,11.5,1
Chevrolet,Captiva,2011,147.9,1991.0,11.5,1
Chevrolet,Cruze,2009,147.9,1991.0,18.1,1
Chevrolet,Cruze,2010,147.9,1991.0,18.3,1
Chevrolet,Cruze,2011,147.9,1991.0,18.1,2
Chevrolet,Cruze,2011,147.9,1991.0,18.3,2
Chevrolet,Cruze,2011,163.7,1998.0,17.9,1
Chevrolet,Cruze,2012,147.9,1991.0,18.3,1
Chevrolet,Cruze,2012,147.9,1991.0,18.1,1
Chevrolet,Cruze,2013,163.7,1998.0,14.39,2
Chevrolet,Cruze,2013,163.7,1998.0,17.3,1
Chevrolet,Cruze,2013,147.9,1991.0,18.3,1
Chevrolet,Cruze,2014,163.7,1998.0,17.3,4
Chevrolet,Cruze,2015,163.7,1998.0,14.81,1
Chevrolet,Cruze,2015,163.7,1998.0,14.39,1
Chevrolet,Cruze,2016,163.7,1998.0,14.81,1
Chevrolet,Cruze,2017,163.7,1998.0,17.9,1
Chevrolet,Cruze,2017,163.7,1998.0,14.81,1
Chevrolet,Cruze,2018,147.9,1991.0,18.3,1
Chevrolet,Enjoy,2013,73.8,1248.0,18.2,2
Chevrolet,Enjoy,2013,98.82,1399.0,13.7,1
Chevrolet,Enjoy,2013,73.74,1248.0,18.2,1
Chevrolet,Enjoy,2014,98.82,1399.0,13.7,1
Chevrolet,Enjoy,2014,98.79,1399.0,13.7,1
Chevrolet,Enjoy,2014,73.8,1248.0,18.2,1
Chevrolet,Enjoy,2014,73.74,1248.0,18.2,1
Chevrolet,Enjoy,2015,73.74,1248.0,18.2,2
Chevrolet,Enjoy,2015,98.82,1399.0,13.7,1
Chevrolet,Enjoy,2015,73.8,1248.0,18.2,1
Chevrolet,Enjoy,2016,98.79,1399.0,13.7,1
Chevrolet,Optra,2004,104.0,1599.0,14.7,1
Chevrolet,Optra,2005,113.35000000000001,1598.0,14.7,1
Chevrolet,Optra,2007,102.5,1598.0,12.9,2
Chevrolet,Optra,2008,123.7,1991.0,16.52,2
Chevrolet,Optra,2010,123.7,1991.0,16.52,1
Chevrolet,Optra,2011,123.7,1991.0,16.52,3
Chevrolet,Optra,2012,102.5,1598.0,12.9,2
Chevrolet,Optra,2013,104.0,1599.0,17.4,1
Chevrolet,Sail,2013,76.9,1248.0,22.1,2
Chevrolet,Sail,2013,82.4,1199.0,18.2,1
Chevrolet,Sail,2014,82.5,1199.0,18.2,3
Chevrolet,Sail,2014,74.0,1248.0,22.1,1
Chevrolet,Sail,2014,82.4,1199.0,18.2,1
Chevrolet,Sail,2015,82.5,1199.0,18.2,1
Chevrolet,Sail,2015,82.4,1199.0,18.2,1
Chevrolet,Spark,2007,62.0,995.0,18.0,3
Chevrolet,Spark,2008,62.0,995.0,18.0,3
Chevrolet,Spark,2009,62.0,995.0,18.0,1
Chevrolet,Spark,2010,63.0,995.0,16.0,1
Chevrolet,Spark,2010,62.0,995.0,18.0,1
Chevrolet,Spark,2011,62.0,995.0,18.0,2
Chevrolet,Spark,2012,62.0,995.0,18.0,2
Chevrolet,Spark,2012,62.1,995.0,16.2,1
Chevrolet,Spark,2014,62.1,995.0,16.2,1
Chevrolet,Tavera,2005,80.0,2499.0,14.8,1
Chevrolet,Tavera,2012,78.0,2499.0,13.58,1
Chevrolet,Tavera,2015,80.0,2499.0,14.8,1
Datsun,GO,2015,67.0,1198.0,19.83,2
Datsun,GO,2016,67.06,1198.0,20.63,2
Datsun,GO,2016,67.0,1198.0,20.63,1
Datsun,GO,2016,67.0,1198.0,20.62,1
Datsun,GO,2016,67.0,1198.0,19.83,1
Datsun,GO,2016,67.0,1198.0,19.44,1
Datsun,GO,2017,67.0,1198.0,19.83,1
Datsun,Redi,2017,53.0,799.0,22.7,1
Datsun,redi-GO,2016,53.64,799.0,22.7,2
Datsun,redi-GO,2016,53.0,799.0,22.7,1
Datsun,redi-GO,2017,53.64,799.0,22.7,1
Datsun,redi-GO,2018,53.64,799.0,22.7,3
Fiat,Abarth,2017,160.0,1368.0,19.0,1
Fiat,Avventura,2014,91.72,1248.0,20.5,1
Fiat,Avventura,2015,91.72,1248.0,20.5,2
Fiat,Avventura,2016,88.8,1368.0,14.4,1
Fiat,Avventura,2018,91.72,1248.0,20.5,1
Fiat,Avventura,2019,91.72,1248.0,20.5,1
Fiat,Grande,2010,76.0,1248.0,17.8,1
Fiat,Grande,2011,88.7,1368.0,14.6,1
Fiat,Grande,2011,75.0,1248.0,20.3,1
Fiat,Grande,2011,68.0,1172.0,16.2,1
Fiat,Grande,2011,67.0,1172.0,15.7,1
Fiat,Grande,2014,75.0,1248.0,21.2,1
Fiat,Grande,2015,88.7,1368.0,14.6,1
Fiat,Linea,2009,91.7,1248.0,20.4,1
Fiat,Linea,2009,91.2,1248.0,20.4,1
Fiat,Linea,2010,93.0,1248.0,19.0,2
Fiat,Linea,2010,91.7,1248.0,20.4,1
Fiat,Linea,2010,90.0,1368.0,16.0,1
Fiat,Linea,2010,88.7,1368.0,14.6,1
Fiat,Linea,2011,90.0,1368.0,16.0,2
Fiat,Linea,2013,112.0,1368.0,14.6,1
Fiat,Linea,2013,75.0,1248.0,19.5,1
Fiat,Linea,2014,75.0,1248.0,19.5,1
Fiat,Linea,2015,91.7,1248.0,20.4,1
Fiat,Linea,2016,112.4,1368.0,15.7,1
Fiat,Linea,2016,92.0,1248.0,20.4,1
Fiat,Punto,2010,67.0,1172.0,15.7,2
Fiat,Punto,2016,91.7,1248.0,20.5,1
Force,One,2014,139.01,2200.0,17.0,2
Force,One,2014,139.07,2149.0,17.0,1
Ford,Aspire,2015,99.0,1498.0,26.1,1
Ford,Aspire,2017,99.0,1498.0,26.1,2
Ford,Aspire,2018,99.0,1498.0,26.1,1
Ford,Classic,2013,67.0,1399.0,19.68,1
Ford,Classic,2014,67.0,1399.0,19.68,1
Ford,EcoSport,2013,98.59,1498.0,22.77,2
Ford,EcoSport,2013,110.4,1499.0,15.63,1
Ford,EcoSport,2014,123.24,999.0,18.88,3
Ford,EcoSport,2014,98.59,1498.0,22.77,2
Ford,EcoSport,2014,110.4,1499.0,15.85,1
Ford,EcoSport,2015,98.59,1498.0,22.77,4
Ford,EcoSport,2015,123.24,999.0,18.88,1
Ford,EcoSport,2015,110.4,1499.0,15.63,1
Ford,EcoSport,2015,98.96,1498.0,23.0,1
Ford,EcoSport,2016,98.59,1498.0,22.77,3
Ford,EcoSport,2016,110.4,1499.0,15.63,2
Ford,EcoSport,2016,121.36,1497.0,17.0,1
Ford,EcoSport,2016,110.4,1499.0,18.88,1
Ford,EcoSport,2016,110.4,1499.0,16.05,1
Ford,EcoSport,2016,98.96,1498.0,23.0,1
Ford,EcoSport,2017,98.96,1498.0,23.0,6
Ford,EcoSport,2017,98.59,1498.0,22.77,3
Ford,EcoSport,2017,121.36,1497.0,17.0,2
Ford,EcoSport,2017,110.4,1499.0,18.88,2
Ford,EcoSport,2017,121.36,1497.0,14.8,1
Ford,EcoSport,2017,110.4,1499.0,16.05,1
Ford,EcoSport,2017,123.24,999.0,18.88,1
Ford,EcoSport,2018,121.36,1497.0,14.8,2
Ford,EcoSport,2018,98.59,1498.0,22.77,1
Ford,EcoSport,2018,98.96,1498.0,23.0,1
Ford,EcoSport,2018,110.4,1499.0,15.63,1
Ford,EcoSport,2018,121.36,1497.0,17.0,1
Ford,EcoSport,2018,110.4,1499.0,18.88,1
Ford,EcoSport,2018,110.4,1499.0,15.85,1
Ford,EcoSport,2019,98.59,1498.0,22.77,1
Ford,Ecosport,2013,89.84,1498.0,22.7,9
Ford,Ecosport,2013,110.0,1499.0,15.8,4
Ford,Ecosport,2013,110.0,1499.0,16.5,2
Ford,Ecosport,2014,89.84,1498.0,22.7,25
Ford,Ecosport,2014,110.0,1499.0,15.8,2
Ford,Ecosport,2014,123.37,999.0,18.88,2
Ford,Ecosport,2015,89.84,1498.0,22.7,9
Ford,Ecosport,2015,110.0,1499.0,15.8,1
Ford,Ecosport,2016,89.84,1498.0,22.7,2
Ford,Ecosport,2016,123.37,999.0,18.88,1
Ford,Ecosport,2017,89.84,1498.0,22.7,4
Ford,Ecosport,2017,123.24,999.0,18.88,3
Ford,Ecosport,2017,110.0,1499.0,15.8,1
Ford,Ecosport,2018,98.96,1498.0,23.0,1
Ford,Ecosport,2019,98.96,1498.0,23.0,1
Ford,Endeavour,2007,141.0,2499.0,13.1,2
Ford,Endeavour,2007,143.0,2499.0,10.9,1
Ford,Endeavour,2007,141.66666666666666,2499.0,10.9,1
Ford,Endeavour,2008,156.0,2953.0,12.8,1
Ford,Endeavour,2008,141.0,2499.0,13.1,1
Ford,Endeavour,2009,143.0,2499.0,10.9,1
Ford,Endeavour,2010,153.86,2953.0,11.4,2
Ford,Endeavour,2010,141.0,2499.0,13.1,1
Ford,Endeavour,2011,141.0,2499.0,13.1,3
Ford,Endeavour,2011,153.86,2953.0,11.4,2
Ford,Endeavour,2012,153.86,2953.0,11.4,4
Ford,Endeavour,2012,153.86,2953.0,12.8,1
Ford,Endeavour,2016,197.0,3198.0,10.91,2
Ford,Endeavour,2016,197.2,3198.0,10.91,2
Ford,Endeavour,2016,158.0,2198.0,12.62,1
Ford,Endeavour,2016,157.7,2198.0,13.5,1
Ford,Endeavour,2017,197.0,3198.0,10.91,5
Ford,Endeavour,2017,197.2,3198.0,10.91,1
Ford,Endeavour,2017,157.7,2198.0,13.5,1
Ford,Endeavour,2018,197.0,3198.0,10.91,2
Ford,Endeavour,2018,197.2,3198.0,10.91,2
Ford,Endeavour,2018,158.0,2198.0,12.62,1
Ford,Endeavour,2019,158.0,2198.0,12.62,4
Ford,Endeavour,2019,197.0,3198.0,10.91,1
Ford,Fiesta,2006,68.0,1399.0,17.8,3
Ford,Fiesta,2006,68.0,1388.0,16.6,2
Ford,Fiesta,2006,101.0,1596.0,15.3,1
Ford,Fiesta,2007,68.0,1388.0,16.6,3
Ford,Fiesta,2007,68.0,1399.0,17.8,2
Ford,Fiesta,2007,101.0,1596.0,15.3,1
Ford,Fiesta,2008,76.25,1399.0,17.8,3
Ford,Fiesta,2008,68.0,1388.0,16.6,2
Ford,Fiesta,2008,101.0,1596.0,15.3,1
Ford,Fiesta,2008,68.0,1399.0,17.8,1
Ford,Fiesta,2009,68.0,1399.0,17.8,5
Ford,Fiesta,2009,68.0,1596.0,15.3,1
Ford,Fiesta,2009,68.0,1388.0,16.6,1
Ford,Fiesta,2010,68.0,1399.0,17.8,2
Ford,Fiesta,2010,101.0,1596.0,15.3,1
Ford,Fiesta,2010,68.0,1388.0,16.6,1
Ford,Fiesta,2011,67.0,1399.0,17.8,2
Ford,Fiesta,2011,68.0,1399.0,17.8,2
Ford,Fiesta,2011,99.6,1596.0,15.3,1
Ford,Fiesta,2011,90.0,1498.0,23.5,1
Ford,Fiesta,2012,67.0,1399.0,17.8,3
Ford,Fiesta,2012,88.7,1498.0,23.5,1
Ford,Fiesta,2012,68.0,1399.0,17.8,1
Ford,Fiesta,2013,99.6,1596.0,15.3,1
Ford,Fiesta,2013,90.0,1498.0,23.5,1
Ford,Fiesta,2013,88.7,1498.0,23.5,1
Ford,Fiesta,2013,67.0,1399.0,17.8,1
Ford,Fiesta,2014,89.75,1498.0,25.01,1
Ford,Fiesta,2014,68.0,1399.0,17.8,1
Ford,Fiesta,2014,67.0,1388.0,18.6,1
Ford,Fiesta,2015,67.0,1388.0,18.6,1
Ford,Figo,2010,68.0,1399.0,20.0,12
